studyName,studyFullName,studyCategoryId,studyCategory,studyDetail,studyStatus,studyType,startYear,endYear,sponsorName,studyDesign,noOfCountries,noOfSites,noOfParticipants
LEADER-PAD,Low dose ColchicinE in pAtients with peripheral artery DiseasE to address residual vascular Risk: A randomized trial,8,CVD Prevention,A prospective double-blinded randomized trial with a 2-week active run-in period to assess and examine the efficacy and safety of colchicine 0.5 mg/ daily in patients with peripheral artery disease (PAD).,New,Interventional - Drug,2024,2028,PHRI,,,100,3600
LEADER-PAD (Vanguard Phase),Low dose ColchicinE in pAtients with peripheral artery DiseasE to address residual vascular Risk: A randomized trial (Vanguard Phase),8,CVD Prevention,The LEADER-PAD (Vanguard phase) is a 150 patient prospective double-blinded randomized trial with a 2-week active run-in period to assess the examine the efficacy and safety of colchicine 0.5 mg daily in patients with peripheral artery disease (PAD).,Recruitment,Interventional - Drug,2021,2022,PHRI,,1,5,238
LEFT-HF,LEFT Bundle Pacing vs Standard RV Pacing for Heart Failure ,16,Heart Failure,"The pilot study is a multi-centre randomized controlled trial of two treatment groups. Eligible patients will have a left ventricular ejection fraction (LVEF) of ≥ 50% and a standard bradycardia indication for RV pacing where the projected percent of ventricular pacing is >90%. Subjects will be randomized (1:1) to either the control arm (RV pacing) or the experimental arm (LBBP). Patients will then be stratified by centre and by sex. Enrolled subjects will undergo implantation using Health Canada approved devices. Patients will be followed up at 6, 12, and 24 months in the device clinic with pacemaker interrogations and electrocardiograms and will undergo a transthoracic echocardiogram at baseline, 12 and 24 month time points. Quality of Life questionnaires will be administered at baseline, 12 months, and 24 months  (12-Item Short Form (SF-12), Aquarel,  and Minnesota Living with Heart Failure Questionnaire (MLHFQ)).  All devices used in this trial will Medtronic market release dual-chamber pacing models along with the Medtronic market release LBBP lead models. All included devices are Health Canada Approved and are regularly used in day-to-day procedures for standard-of-care use.",Recruitment,Interventional - Procedure,2022,,McGill University,,1,8,159
LiGHT Trial,Living Green and Healthy for Teens (LiGHT) ? a randomized trial evaluating behaviour change using a healthy living app for youth and their families,13,Population Health,"Background:
Obesity and associated cardiovascular risk factors are highly prevalent in youth and are associated with early morbidity and mortality. Changing health behaviours is effective in reducing risk factors, but challenging to implement. The Living Green and Healthy for Teens (LiGHT) app has been rigorously developed as an evidence-based, user-friendly, stakeholder-reviewed tool to facilitate healthy behaviour change.

Research Questions
Primary Research Question
Among youth aged 10-16 years, does randomization of their family to the use of the interactive gamified Living Green and Healthy for Teens (LiGHT) app over a 1 year period, compared to a simple listing of healthy lifestyle information websites, increase the proportion of youth engaging in a composite of healthy active living behaviours?

Secondary Research Questions
Does the LiGHT app: 
a) prevent an increase in BMI z-score at 1 year; 
b) increase time spent in moderate to vigorous physical activity at 1 year; and 
c) improve diet quality at 1 year?

Methods and expertise:
Using a single-centre randomized, parallel, controlled single-blind design, 250 eligible youth-parent dyads will be allocated 1:1 to received: a) the LiGHT app system; or b) a list of links to websites providing information and tips on healthy eating and activity. They will be followed for 1 year.  All families with at least one smart phone will be eligible. App usage will be monitored electronically. Visits at 3 months, 6 months and 1 year will evaluate questionnaires on food frequency, breakfast intake, and screen and sleep time, as well as 1 week accelerometry data to quantify moderate and vigorous physical activity and sedentary time. The cohort from which many of the youth and parents will be drawn has already demonstrated a commitment to long-term follow-up. The team is composed of individuals from McMaster University and the Childhood Obesity Foundation, who respectively have expertise in: recruitment, retention and high quality data collection among cohorts of youth, as well as successful completion of large randomized trials; and development, evaluation and community-based implementation of behavioural interventions including electronic tools for obesity treatment and prevention in partnership with industry and government.   

Expected outcomes:
Many health apps are either not developed based on evidence or are not engaging for users, and very few are studied systematically for their effectiveness in improving health, especially among youth. This trial will evaluate the fairly long-term use of an app that has been developed in Canada based on sound behavioural psychology, scientific evidence regarding behaviours relevant to cardiovascular health, and interactive, engaging technology. It further encourages family engagement and multiple motivators which are important for youth. We will learn whether a properly designed app can affect healthy behaviour change at a critical life stage, over a sustained period of time. If effective, wide dissemination on a population scale through simple electronic channels will facilitate improved cardiovascular risk profiles for any family with access to a smartphone.
",Follow Up,Interventional - Device,2021,2024,PHRI,,1,2,74
LIMIT,Low INR to Minimize bleeding with mechanical valves Trial - Vanguard,9,Perioperative,"Assess the feasibility of a large trial to evaluate the safety and efficacy of a common, lower INR target range in patients with bileaflet aortic mechanical valves.",Recruitment,Interventional - Drug,2019,2028,PHRI,,7,13,525
LOREM IPSUM,Lorem ipsum dolor sit amet.,21,Digital Health,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas nisi eros, eleifend quis sapien sit amet, congue varius ante. Morbi imperdiet elementum enim quis vestibulum. Ut fermentum mi finibus lacus fringilla, id consequat ante porta. Phasellus efficitur malesuada eros vitae imperdiet. Nullam tincidunt fringilla euismod. Fusce imperdiet tincidunt urna at.",New,Interventional - Drug,2023,,PHRI,,,32,3050
MANAGE,Management of myocardial injury after noncardiac surgery,9,Perioperative,"To assess the impact of dabigatran (a direct thrombin inhibitor) in patients suffering myocardial injury after noncardiac surgery (MINS). In addition, a partial 2x2 factorial design will be used to randomize patients not already on a proton pump inhibitor to either omeprazole or matching placebo.This trial will involve almost 30 countries with approximately 160 sites. The target sample size is 3,200 patients for the main trial with an expected 1,920 patients in the omeprazole factorial. The trial will determine the effect of dabigatran 110 mg versus matching placebo on the risk of major vascular complications, and the effect of omeprazole 20 mg versus matching placebo on the risk of major upper gastrointestinal complications in patients who have suffered MINS. Patients will be followed-up for an average of one year post-randomization.

Primary: Major vascular complication (composite of vascular mortality, nonfatal myocardial infarction, nonfatal stroke, nonfatal peripheral arterial thrombosis and nonfatal symptomatic pulmonary embolism); Secondary: Major upper gastrointestinal complication (composite of overt gastroduodenal bleeding, overt upper gastrointestinal bleeding of unknown origin, or upper gastrointestinal perforation)
",Publication,Interventional - Drug,2013,2018,PHRI,,22,153,1754
Mechanical Heart Valve Study,Mechanical Heart Valve Study,17,Cardiac Surgery,A retrospective chart review evaluating anticoagulation control and risk of thrombosis/bleeding in patients who received a mechanical heart valve at HHS between 2010-2019 and were followed at the Thrombosis Clinic at Hamilton General Hospital.,Publication,Observational - Registry,2021,2021,Investigator Initiated,,1,1,769
MINOCA REGISTRY,MINOCA-CANADA-R: The Multi-centre Canadian Myocardial Infarction with No Obstructive Coronary Arteries (MINOCA) Registry–Prospective Study,22,Other,"To better understand how heart attack has affected the overall experiences of patients with MINOCA. This research will inform future research studies of policies, risk factors, treatments and overall disease management to reduce people’s risk of experiencing MINOCA, and/or the harmful health consequences caused by it. However, in order to design an efficient large research project of this nature, we need to conduct a smaller pilot or feasibility study that will better inform the design of the larger research study. The purpose of this present study is to collect such feasibility data to help inform the design and operation of the larger research project",New,Observational - Registry,2022,2024,PHRI,,,7,492
MIPAD,Length of Initial Prescription at Hospital Discharge and Long-term Medication Adherence for Elderly Patients Post-Myocardial Infarction: An Interventional Study -  Myocardial Infarction Prescription Adherence Duration Study: MIPAD,14,Health Systems,"The overarching goal of this study is to reduce the morbidity and mortality of post-MI patients through improved long-term cardiac medication adherence. 

The specific objectives include: 1. Assess the impact on long-term cardiac medication adherence following the implementation of (1) a standardized increase in discharge prescription length to 90-days with 3 repeats in post-MI patients as compared to (2) education alone and usual care; 2. Assess the cost implications of the prolonged initial discharge prescriptions as compared to usual care; 3. Compare clinical outcomes between longer (>60 days) versus shorter prescription durations; 4. Collect baseline information to inform a multi-centre interventional study (i.e., simple monthly proportions of 1-year adherence by hospitals in Ontario).",Publication,Observational,2017,2019,PHRI,,1,4,20896
MIPAD STUDY,,,,,,,,,,,,,
Molecular SHARE,Molecular SHARE,13,Population Health,"To directly compare the body composition, body fat distribution, and morphological and functional features of adipose tissue and skeletal muscle between South Asians and European Caucasians.
The primary objective of this prospective cross-sectional case-control study is to determine differences among age, sex, and BMI-matched people of South Asian and European Caucasians in body fat composition. The secondary objectives of this study are to determine differences among age, sex, and BMI-matched people of South Asian and European Caucasians in visceral adiposity, adipose tissue morphology, inflammation and adipokine production, skeletal muscle lipid content, fatty acid oxidation and mitochondrial capacity.
",Publication,Observational,2007,2008,CIHR,,1,1,120
MVP,Mechanical Valve Registry (MVP),9,Perioperative,"To determine if postoperative bridging therapy with full-dose heparin anticoagulation is superior to low-dose heparin bridging therapy in the immediate post-mechanical heart valve implantation period; and whether postoperative bridging therapy with LMWH is superior to UFH bridging therapy in the immediate post-mechanical heart valve implantation period.

Primary:  Determine whether postoperative bridging therapy with full-dose heparin anticoagulation is superior to low-dose heparin bridging therapy in the immediate post-mechanical heart valve implantation period.
Secondary: Determine whether postoperative bridging therapy with LMWH is superior to UFH bridging therapy in the immediate post-mechanical heart valve implantation period.
",Publication,Observational - Registry,2010,2013,,,1,5,1777
NASPAF-ICH,"Non-Vitamin K Antagonist Oral Anticoagulants for Stroke Prevention in Patients with Atrial Fibrillation and Previous Intracerebral Hemorrhage Study
",10,Stroke,"To determine the feasibility of a controlled trial examining the efficacy and safety of NOACs compared with aspirin for stroke prevention in patients with high-risk AF and previous intracerebral hemorrhage (ICH).

Composite of ischemic stroke and recurrent ICH
",Publication,Interventional - Drug,2017,2019,PHRI,,1,10,31
NAVIGATE ESUS ,"Multicenter, randomized, double-blind, double-dummy, active-comparator, event-driven, superiority phase III study of secondary prevention of stroke and prevention of systemic embolic events and myocardial infarction in patients with a recent Embolic Stroke of Undetermined Source (ESUS), comparing 15 mg rivaroxaban with aspirin",10,Stroke,"To evaluate whether rivaroxaban is superior to aspirin in reducing the risk of recurrent stroke and systemic embolic events in patients with a recent ESUS. Patients who fulfill all inclusion and none of the exclusion criteria after giving informed consent will be randomly allocated 1:1 to either rivaroxaban 15mg or aspirin 100mg orally once daily. Randomization will be stratified by country and age <60 and &#8805;60 years. No more than 10% of the total patient population will be randomized into the age group <60 years. The study is event-driven and thus, all patients will be treated (or followed-up in case of premature discontinuation of study medication) until the required approximately 450 confirmed primary efficacy outcomes are expected to have occurred.

The primary efficacy objective is:
To evaluate whether rivaroxaban is superior to aspirin in reducing the risk of recurrent stroke and systemic embolism in patients with a recent ESUS
The secondary efficacy objective is:
To evaluate whether rivaroxaban is superior to aspirin in reducing cerebrovascular events, cardiovascular events, and mortality in patients with a recent ESUS
The safety objective is to document the incidence of clinically relevant bleeding",Publication,Interventional - Drug,2014,2017,Bayer,,31,584,7586
NeuroVISION,Detection and neurological impact of cerebrovascular events in noncardiac surgery Patients: A cohort evaluation Study,9,Perioperative,"The NeuroVISION Study will characterize the incidence, impact, and risk factors of covert stroke in adults undergoing noncardiac surgery. We will determine the incidence of acute covert stroke using an MRI study of the brain in the days following noncardiac surgery, and will characterize the epidemiology and the impact of covert stroke in patients undergoing noncardiac surgery.",Publication,Observational,2014,2018,PHRI,,9,13,1626
NeuroVISION Cardiac,,,,,,,,,,,,,
NeuroVISION Pilot,Neurological impact of vascular events in non cardiac surgery patients: A cohort evaluation pilot study,9,Perioperative,"To inform the incidence of covert stroke in adults undergoing noncardiac surgery in the VISION study using an MRI study of the brain in the days following noncardiac surgery and establish the feasibility of conducting a full study. 

Incidence of acute covert stroke and feasibility

",Close Out,Observational,2011,2013,PHRI,,4,6,100
NeuroVISION-2,,22,Other,,New,,,,,,,,
NeuroVISION-Cardiac Pilot,Detection and Neurological Impact of CerebroVascular events In Cardiac Surgery Patients: A Cohort Evaluation Pilot,17,Cardiac Surgery,"Single-center pilot prospective observational study to determine feasibility of a larger study in terms of recruitment, rate of research MRI completed per week at Hamilton General Hospital and number lost to follow-up. ",Publication,Observational,2017,2018,PHRI,,1,1,50
NIATH,A preliminary study of Non-Invasive measures of ATHerosclerosis in children at high risk of developing atherosclerosis,2,Childhood Risk Factors,"To determine if non-invasive measures of atherosclerosis will be abnormal in children with increased risk for developing coronary artery disease, including children with hyperlipidemia, with diabetes (Type 1 or 2) and who are obese.

Primary: IMT; BAR measures in children age 5 and 18 years and measures of cardiovascular risk, obesity and diabetes. Secondary: Measures of environmental factors and Family History
",Publication,Observational,2003,2013,,,1,1,200
NRC-IRAP,,,,,,,,,,,,,
NUTRI MAPS,,,,,,,,,,,,,
OASIS 1,Organization to Assess Strategies for Ischemic Syndromes – Pilot,7,Acute Coronary Syndromes,"To compare hirudin vs. heparin administered as a 72 hour infusion post presentation and warfarin vs. standard therapy for 6 months in patients with ST segment elevation acute coronary syndromes. Hirudin, especially at the medium dose, was superior to heparin in preventing ischemic outcomes there was a reduction in the rate of recurrent ischemic events with moderate-intensity, but not with low intensity warfarin. There was an excess in minor bleeds in the warfarin group.

Primary endpoint: the composite of CV death, new MI, or refractory angina; Secondary endpoint: the composite of CV death, new MI, refractory angina, or severe angina and the composite of CV death, new MI, or severe angina requiring revascularization procedures within 7 days and CV death MI, or stroke at 6 months for the warfarin arm. Bleeding rates were also evaluated. Key endpoints were adjudicated.
",Publication,Interventional - Drug,1996,1997,,,1,30,909
OASIS 2,Organization to Assess Strategies for Ischemic Syndromes (OASIS-2) Trial,7,Acute Coronary Syndromes,"To evalurate if the recombinant hirudin (lepirudin), a direct thrombin inhibitor, is superior to heparin, an indirect thrombin inhibitor, in patients with acute ischaemic syndromes who were receiving aspirin. The study results suggested that recombinant hirudin is superior to heparin in preventing cardiovascular death, myocardial infarction, and refractory angina with an acceptable safety profile in patients with unstable angina or acute myocardial infarction without ST elevation. OASIS-2 is among the first large trials that evaluated the use of a direct thrombin inhibitor in acute coronary syndromes.

The primary outcome measure was cardiovascular death or new myocardial infarction at 7 days; Secondary outcomes: cardiovascular death, new myocardial infarction, or refractory angina at 7 days. The major safety outcomes were stroke and major bleeding events. Key efficacy and safety outcomes were adjudicated.
",Publication,Interventional - Drug,1997,1999,,,18,300,10141
OASIS 3 - CREATE,The Clinical Trial of Reviparin and Metabolic Modulation in Acute Myocardial Infarction Treatment Evaluation,7,Acute Coronary Syndromes,"To evaluate the effects of reviparin, a low-molecular-weight heparin, on mortality, reinfarction, and strokes in patients with acute myocardial infarction presenting with ST-segment elevation. The trial found that in patients with acute ST-segment elevation reviparin reduces mortality and reinfarction, without a substantive increase in overall stroke rates. There was a small absolute excess of life-threatening bleeding but the benefits outweigh the risks.

The first coprimary outcome was a composite of death, reinfarction, or stroke at 7 days, while the second coprimary outcome was the first outcome with the addition of ischemia with electrocardiogram changes, also at 7 days. Secondary outcomes included the components of these coprimary outcomes, any ischemia at 7 days, and 30-day outcomes, which included the same composites. The major safety outcme was major bleeding. All efficacy and safety outcomes were adjudicated.
",Publication,Interventional - Drug,2000,2004,,,2,341,15570
OASIS 3 - CREATE - ECLA,A Clinical Trial Evaluating the Effect of Glucose-Insulin-Potassium Infusion on Mortality in Patients With Acute ST-Segment Elevation Myocardial Infarction,7,Acute Coronary Syndromes,"To evaluate the effects of high-dose glucose, insulin, and potassium (GIK) on mortality, reinfarction, and strokes in patients with acute myocardial infarction presenting with ST-segment elevation. GIK infusion in patients with STEMI had no significant impact on mortality and other major cardiac events.

The primary outcome measure was mortality from any cause at 30 days after randomization. Secondary outcome measures included the composite of death or nonfatal cardiac arrest, death or cardiogenic shock, death or reinfarction, and each of these individually.
",Publication,Interventional - Drug,2000,2004,,,21,470,20201
OASIS 4 - CURE,"A phase III randomized, double-blind, parallel group clinical trial of clopidogrel versus placebo in patients with an acute coronary syndrome (unstable angina or myocardial infarction without st segment elevation)",7,Acute Coronary Syndromes,"To evaluate the efficacy and safety of clopidogrel when given with aspirin patients with non- ST-segment elevation acute coronary syndromes. Clopidogrel had beneficial, however, there was an increased risk of major bleeding. The findings of the CURE trial led to widespread use of clopidogrel in non -ST segment elevation ACS patients, modification of practice guidelines and regulatory approvals in many countries around the world. Clopidogrel has become an established therapy in these patients and one of the most commonly used drugs in ACS.",Publication,Interventional - Drug,1998,2001,Sanofi,,28,482,12562
OASIS 5 - MICHELANGELO,"An International, Randomized, Double-Blind Study Evaluating the Efficacy and Safety of Fondaparinux versus Enoxaparin in the Acute Treatment of Unstable Angina/Non ST-Segment Elevation MI Acute Coronary Syndromes",7,Acute Coronary Syndromes,"To evaluate whether fondaparinux is at least as effective as or superior to enoxaparin in preventing death, myocardial infarction or refractory ischemia up to day 9 in the acute treatment of patients with unstable angina/non ST-segment elevation myocardial infarction concurrently managed with standard medical therapy. Fondaparinux was similar to enoxaparin in reducing the risk of ischemic events but it substantially reduced bleeding an improved long-term mortality and morbidity. ",Publication,Interventional - Drug,2003,2005,GSK,,41,576,20078
OASIS 6 - MICHELANGELO,FOndaparinux in ST Elevation Myocardial Infarction. Safety and Efficacy Trial Evaluating Fondaparinux Use in a Broad Range of Patients With ST Segment Elevation Acute MI,7,Acute Coronary Syndromes,"To determine the efficacy and safety of fondaparinux (Arixtra) in preventing death and repeat heart attacks and their complications in ST-segment elevation acute coronary syndromes. The trial showed that In patients with STEMI, particularly those not undergoing primary percutaneous coronary intervention, fondaparinux significantly reduces mortality and reinfarction without increasing bleeding and strokes. ",Publication,Interventional - Drug,2003,2006,GSK,,41,447,12092
OASIS 7 - CURRENT,"Randomized, Multinational, Double-Blind Study, Comparing a High Loading Dose Regimen of Clopidogrel versus Standard Dose in Patients with Unstable Angina or Myocardial Infarction Managed With an Early Invasive Strategy",7,Acute Coronary Syndromes,"To evaluate whether a higher dosage of clopidogrel with aspirin (two doses) will decrease the risk of ischemic complications (cardiac death, stroke, and myocardial infarction) after a percutaneous coronary intervention. The CURRENT-OASIS 7 (Clopidogrel optimal loading dose Usage to Reduce Recurrent EveNTs-Organization to Assess Strategies in Ischemic Syndromes) study will be the first adequately powered randomized trial to determine the efficacy and safety of higher dose compared with lower dose ASA and clopidogrel for treatment of ACS.",Publication,Interventional - Drug,2006,2009,Sanofi,,39,597,25086
OASIS 8 FUTURA,FondaparinUx Trial with UFH during Revascularization in Acute Coronary Syndromes. A Prospective Study Evaluating the Safety of Two Regimens of Adjunctive Intravenous UFH during PCI in High Risk Patients with UA/NSTEMI Initially Treated With Subcutaneous Fondaparinux,7,Acute Coronary Syndromes,"To compare the safety of two different dose regimens of unfractioned heparin (UFH) during a PCI procedure in patients with UA (unstable angina) /NSTEMI (non ST segment elevation myocardial infarction) who have been initially treated with fondaparinux.

Adjudicated. Composite of major bleeding, minor bleeding or major vascular access site complications. Secondary Points: Composite of major bleeding with death, MI or target vessel revascularization. Major bleeding, minor bleeding assessed separately. Major vascular access site complications. Composite of death, MI, target vessel revascularization plus the components assessed separately. Stroke. Definite and probable stent thrombosis. Major PCI-related procedural complications. All primary and secondary endpoints are adjudicated.
",Publication,Interventional - Drug,2009,2010,GSK,,18,179,2026
OASIS Registry,OASIS (Organization to Assess Strategies for Ischemic Syndromes),7,Acute Coronary Syndromes,"To evaluate the variations between countries in invasive cardiac procedures and outcomes in patients with suspected unstable angina or myocardial infarction without initial ST elevation. Significant differences between countries were observed.  The study concluded that higher rates of invasive and revascularisation procedures were associated with lower rates of refractory angina or readmission for unstable angina, no apparent reduction in cardiovascular death or myocardial infarction, but with higher rates of stroke and suggested that randomised trials should assess the relative impact of conservative and more aggressive approaches to invasive cardiac procedures and revascularisations in patients with unstable angina.

Data on clinical variables, procedures, and events were collected prospectively during the patient's stay in hospital by means of standard forms. Data on transfers from one hospital to another for a procedure were also recorded. At 6 months, data were collected on all interim procedures, occurrence of myocardial infarction, readmission for unstable angina, and death. Events were not adjudicated.
",Publication,Observational - Registry,1996,1998,,,6,95,7987
OCEANIC-STROKE,"A multicenter, international, randomized, placebo controlled, double-blind, parallel group and event driven Phase 3 study of the oral FXIa inhibitor asundexian (BAY 2433334) for the prevention of ischemic stroke in male and female participants aged 18 years and older after an acute non-cardioembolic ischemic stroke or high-risk TIA",10,Stroke,Asundexian for secondary ischemic stroke prevention,Recruitment,Interventional - Drug,2023,2025,Bayer,,36,154,144
ONTARGET,ONgoing Telmisartan Alone and in Combination with Ramipril Global Endpoint Trial.  ,8,CVD Prevention,"A large, simple randomized trial of an Angiotensin II Receptor Antagonist (Telmisartan) and an ACE-Inhibitor (Ramipril) in patients at high risk for cardiovascular events.",Publication,Interventional - Drug,2002,2007,Boehringer Ingelheim,,40,730,25620
OPTIMISE,,,,,,,,,,,,,
ORCHID,Ontario Registry of CHronic Myeloproliferative Neoplasms and Incident Cardiovascular Disease (ORCHID)/Inflammation in Myeloproliferative Philadelphia Chromosome Negative Neoplasms – Relationship with Biomarkers of Disease Activity (IMPACT),18,Cardio Oncology,"ORCHID is a multi-centre prospective observational registry of patients with chronic myeloproliferative neoplasms (MPN) recruited within one year of diagnosis. Its goal is to inform the epidemiology and course of MPNs in the contemporary context. Specifically, as MPN survival improves, and with the advent of treatments that may have cardiovascular adverse effects, there is a need to better understand the evolving epidemiology of MPNs. The creation of this Registry will inform the true incidence of vascular disease in the Tyrosine Kinase Inhibitors (TKI) treated Chronic Myeloid Leukemia (CML), Polycythemia vera (PV), Primary myelofibrosis (PMF) and Essential Thrombocytosis (ET) patient populations.

",Recruitment,Observational - Registry,2016,,PHRI,,1,2,192
ORGINALE,ORIGIN And Legacy Effects ,3,Diabetes,,Publication,Interventional - Drug,2013,2013,Sanofi,,,,4718
ORIGIN,The ORIGIN Trial (Outcome Reduction with Initial Glargine Intervention),3,Diabetes,"To evaluate the effects of Lantus (Insulin Glargine) versus standard care, and of Omega-3 Fatty Acids versus placebo, in reducing Cardiovascular morbidity and mortality in high risk people with Impaired Fasting Glucose (IFG), Impaired Glucose Tolerance (IGT) or early Type 2 Diabetes Mellitus.

The composite of CV death, non-fatal MI, non-fatal stroke, and significant heart failure. Secondary endpoints: Decline in the ability to perform everyday activities (key secondary outcome), Renal dysfunction (Primary outcome: end stage renal disease [ESRD] requiring dialysis or transplantation or doubling of serum creatinine), Total mortality. All primary and secondary endpoints are adjudicated.
",Publication,Interventional - Drug,2003,2010,,,40,578,12612
ORIGIN GENETICS,,,,,,,,,,,,,
OSCAIL,Organized Stroke Care Across Income Levels,10,Stroke,"Centrally guided, locally championed pilot study to determine the feasibility of implementing key elements of organized stroke care in hospitals in low resource settings.

To increase the proportion of patients who receive 3 or more key stroke care interventions (KSI) by at least 10%. 
",Close Out,Interventional - Procedure,2017,2020,PHRI,,4,7,784
PACIFIC-Stroke,"Randomized, placebo controlled, double-blind, parallel group, dose-finding Phase 2 study to evaluate efficacy and safety of BAY 2433334 in patients following an acute non-cardioembolic ischemic stroke ",10,Stroke,,Publication,Interventional - Drug,2020,2022,Bayer,,23,208,1808
PACT-HF,Patient-Centered Care Transitions in Heart Failure (PACT-HF): A pragmatic multi-center cluster randomized trial,16,Heart Failure,"We used a pragmatic stepped wedge cluster randomized design to introduce PACT-HF across 10 large hospitals in our publicly funded health care system.
The goal was for all patients hospitalized with HF to receive self-care education, multidisciplinary care services, and early follow-up with their primary health care providers; and for high-risk patients to receive nurse-led home visits and outpatient care in Heart Function clinics following hospital discharge.
We redesigned workflow to integrate health care services across institutions and regional networks that typically work independently of each other.
We obtained clinical outcomes via linkages to provincial administrative databases, analyzing them using shared frailty survival models adjusted for the stepped wedge design.
We analyzed secondary outcomes using hierarchical models adjusted for the stepped wedge design. We applied the Intention-to-treat principle for all analyses.

Primary outcomes are:
 Time to 3-month composite all-cause readmissions, emergency department (ED) visits, and death.
 30-day composite all-cause readmissions and ED visits.
Secondary outcomes are patient-reported Discharge Preparedness, Care Transitions Quality, Health Related Quality of Life, and Quality Adjusted Life Years.

",Publication,Observational,2015,2016,PHRI,,1,10,2494
PADIT,,,,,,,,,,,,,
PADIT Cluster Crossover,Prevention of Arrhythmia Device Infection Trial (PADIT) Cluster Crossover Study,17,Cardiac Surgery,"To reduce infection after pacemaker or ICD surgery, antibiotics are used but the ideal amount and duration is unknown. Many different antibiotic strategies are used in Canada but no comparative effectiveness studies have been performed. We do not know if the standard single dose of intravenous antibiotic is enough or if extra doses of different antibiotics before, during and after surgery help to reduce infection. Pacemaker and ICD procedures are delivered at high volume specialized centres following Standard Operating Procedures. Because of this systemization of care, comparative effectiveness testing to improve care should be tested in the systems in which they will be used. PADIT will test whether single antibiotics or additional antibiotics reduce infection best by randomizing centres, not patients, to one antibiotic strategy or another. Centres will be randomized to one therapy and then cross over to the next after 6 months. At one year they will randomize again and then cross over for a final time at 18 months. All patients at the centre receiving a pacemaker of ICD will receive that strategy during the study. One year post implant sites will review their hospital records to determine if any endpoints were met.

",Publication,Interventional - Drug,2012,2017,PHRI,,2,28,19603
PADIT Cluster Crossover Pilot,Prevention of Arrhythmia Device Infection Trial (PADIT) Cluster Crossover Study Pilot,5,Arrhythmia,"To compare whether a centre-wide policy of incremental antibiotic therapy will reduce hospitalization for device infection compared to a policy of conventional antibiotic prophylaxis in high-risk patients undergoing arrhythmia device procedures.  This pilot study will provide feasibility information for a larger cluster randomized crossover design.  

",Publication,Interventional - Drug,2010,2012,PHRI,,1,6,241
PADIT Pilot,Prevention of Arrhythmia Device Infection Trial,17,Cardiac Surgery,"To compare a conventional antibiotic therapy approach to an aggressive antibiotic therapy for the prevention of hospitalization for device infection in high-risk patients undergoing arrhythmia device procedures.  Eligible and consenting patients will be randomized to conventional (pre-op antibiotics) or aggressive antibiotics (pre-op, intra-op and post-op) for the prevention of infection prior to the planned device procedure.  Patients will have a follow up 12 months post-implant to determine if they met the primary outcome for hospitalization for device infection.

",Publication,Interventional - Drug,2009,2010,PHRI,,1,11,500
PAIN-STOP,Preventing Pain with Nmda antagonists-steroids in Thoracoscopic lobectomy procedures,17,Cardiac Surgery,"This pilot study will assess the feasibility of a larger randomized controlled trial (RCT) evaluating NMDA antagonists and IV steroids, as compared to placebo, in decreasing the chances of clinically significant persistent post-surgical pain (PPSP) after video assisted thoracoscopic surgeries (VATS). Patients will be recruited at 2 centres over 5 months and will be followed to 3 months post-surgery.

Proportion of: 1) eligible patients recruited; 2) patients adhering to the study protocol; and 3) patients completing the follow-up at 3 month.
",Publication,Interventional - Procedure,2017,2017,PHRI,,2,2,27
PALLAS,Permanent Atrial fibriLLAtion outcome Study using Dronedarone on top of standard therapy,5,Arrhythmia,"To demonstrate the efficacy of Dronedarone in preventing major cardiovascular events (stroke, systemic arterial embolism, MI or CV Death) or CV hospitalization or death from any cause in patients with permanent atrial fibrillation and additional risk factors. To demonstrate the efficacy of Dronedarone in preventing cardiovascular death in this patient population and to assess that Dronedarone is well tolerated.

The first coprimary outcome was a composite of stroke, myocardial infarction, systemic embolism, or death from cardiovascular causes. The second coprimary outcome was unplanned hospitalization for a cardiovascular cause or death. Other outcomes were death from cardiovascular causes, death from arrhythmia, recurrent hospitalization for cardiovascular causes, total nights in the hospital for cardiovascular reasons, acute coronary syndrome, stroke or systemic embolism, hospitalization for heart failure or heart-failure episode without hospitalization, and death from any cause.
",Publication,Interventional - Drug,2010,2011,Sanofi,,37,489,3236
PALLAS STUDY,,,,,,,,,,,,,
PAPA - CABG,Pilot Study of Preoperative Aspirin and Postoperative Clopidogrel’s Effects on Graft Patency and Cardiac Events in Coronary Artery Bypass Surgery,9,Perioperative,"To demonstrate that it is feasible to recruit patients and to use a new test called ""CT angiography"" to determine whether the bypass grafts are still working or have become blocked.

Graft patency, MI, Death, Stroke. Secondary Endpoint: Bleeding, Transfusion, Re-exploration, Platelet function tests. Not adjudicated.
",Publication,Interventional - Procedure,2007,2008,,,1,1,150
PARFAIT,PAR-4 Antagonist for Ischemic stroke and TIA,10,Stroke,,Publication,Interventional - Drug,2016,2019,Bristol-Myers Squibb,,,1,
PCI-CURE,Effects of pretreatment with clopidogrel and aspirin followed by long-term therapy in patients undergoing percutaneous coronary intervention,7,Acute Coronary Syndromes,"To determine if, in addition to aspirin, pretreatment with clopidogrel followed by long-term therapy after PCI is superior to a strategy of no pretreatment and short-term therapy for only 4 weeks after PCI.

The primary endpoint was a composite of cardiovascular death, myocardial infarction, or urgent target-vessel revascularisation within 30 days of PCI.
",Publication,Interventional - Drug,1998,2001,Sanofi,,28,482,2658
